"","X1","X2","X3","technology"
"500","Price, S.P., Bradford, M.A., Ashton, M.S. (2012) Characterizing organic carbon stocks and flows in forest soils","2012","http://dx.doi.org/10.1007/978-94-007-2232-3_2","Soil Carbon Sequestration"
"501","Diacono, M., Montemurro, F. (2009) Long-term effects of organic amendments on soil fertility","2009","http://dx.doi.org/10.1007/978-94-007-0394-0_34","Soil Carbon Sequestration"
"502","Hu, H., Liu, G. (2013) Dynamics of soil physical-chemical properties and organic carbon content along a restoration chronosequence in Pinus tabulaeformis plantations","2013","http://dx.doi.org/10.5846/stxb201112091888","Soil Carbon Sequestration"
"503","Kareh, H.A., Naseri, H.R., Heshmati, G.H.A. (2013) Comparison of carbon sequestration quantity in haloxylon aphyllum and Stipagrostis plumosa in Iran Desert Area","2013","http://dx.doi.org/10.5829/idosi.wasj.2013.21.8.2864","Soil Carbon Sequestration"
"506","He, S., Xie, J., Zeng, H., Tian, H., Zhou, Y., Xu, C., LÃ¼, M., Yang, Y. (2013) Dynamic of soil organic carbon pool after restoration of Pinus massoniana in eroded red soil area","2013","http://dx.doi.org/10.5846/stxb201205180742","Soil Carbon Sequestration"
"509","Lal, R. (2008) Carbon sequestration in soil","2008","http://dx.doi.org/10.1079/PAVSNNR20083030","Soil Carbon Sequestration"
"510","Lal, R. (2013) Intensive Agriculture and the Soil Carbon Pool","2013","http://dx.doi.org/10.1080/15427528.2013.845053","Soil Carbon Sequestration"
"511","Chen, Q., Shen, C., Sun, Y., Peng, S., Yi, W., Li, Z., Jiang, M. (2008) Soil carbon dynamics in a subtropical mountainous region, south china: Results based on carbon isotopic tracing","2008","http://dx.doi.org/10.1007/978-3-540-77686-4_9","Soil Carbon Sequestration"
"513","Torri, S.I., CorrÃªa, R.S., Renella, G. (2014) Soil carbon sequestration resulting from biosolids application","2014","http://dx.doi.org/10.1155/2014/821768","Soil Carbon Sequestration"
"514","Poudyal, B.K., Poudel, P. (2013) Beneficial microbes ""jeevatu"" for biodegradable waste management and plant disease control","2013","http://dx.doi.org/10.1109/GHTC.2013.6713686","Soil Carbon Sequestration"
"518","Bernoux, M., Cerri, C.C., Cerri, C.E.P., Neto, M.S., Metay, A., Perrin, A.-S., Scopel, E., Tantely, R., Blavet, D., De Piccolo, M.C., Pavei, M., Milne, E. (2009) Cropping systems, carbon sequestration and erosion in Brazil: A review","2009","http://dx.doi.org/10.1007/978-90-481-2666-8_7","Soil Carbon Sequestration"
"519","Å imanskÃ½, V., KovÃ¡Äik, P. (2014) Carbon sequestration and its dynamics in water-stable aggregates","2014","http://dx.doi.org/10.2478/agri-2014-0001","Soil Carbon Sequestration"
"520","Oladele, O., Braimoh, A. (2014) Potential of agricultural land management activities for increased soil carbon sequestration in Africa- a review","2014","http://dx.doi.org/10.15666/aeer/1203_741751","Soil Carbon Sequestration"
"522","Qin, X., Li, Y., Wang, H., Li, J., Wan, Y., Liao, Y., Fan, M., Zhu, J., Gao, Q., Liu, S. (2015) Impact of biochar amendment on carbon emissions intensity in double rice field in South China","2015","http://dx.doi.org/10.3969/j.issn.1002-6819.2015.05.032","Soil Carbon Sequestration"
"523","Chinade, A.A., Siwar, C., Ismail, S.M., Isahak, A. (2015) A review on carbon sequestration in Malaysian forest soils: Opportunities and barriers","2015","http://dx.doi.org/10.3923/ijss.2015.17.27","Soil Carbon Sequestration"
"525","Wen, W., Zhou, B.T., Wang, Y.F., Liang, D. (2015) Effects of spatio-temporal changes of land-use on soil organic carbon in yangjuangou watershed in Loess Plateau, China","2015","http://dx.doi.org/10.5846/stxb201401250188","Soil Carbon Sequestration"
"526","Srinivasarao, C., Lal, R., Kundu, S., Thakur, P.B. (2015) Conservation agriculture and soil carbon sequestration","2015","http://dx.doi.org/10.1007/978-3-319-11620-4_19","Soil Carbon Sequestration"
"527","Lal, R., Lorenz, K. (2012) Carbon sequestration in temperate forests","2012","http://dx.doi.org/10.1007/978-94-007-4159-1_9","Soil Carbon Sequestration"
"528","Miao, S., Qiao, Y., Zhang, F. (2015) Conversion of cropland to grassland and forest mitigates global warming potential in northeast China","2015","http://dx.doi.org/10.15244/pjoes/33928","Soil Carbon Sequestration"
"532","Gerber, P.J. (2017) Climate change mitigation and productivity gains in livestock supply chains: insights from regional case studies","2017","http://dx.doi.org/10.1007/s10113-016-0986-3","Soil Carbon Sequestration"
"533","Sumiyoshi, Y., Crow, S.E., Litton, C.M., Deenik, J.L., Taylor, A.D., Turano, B., Ogoshi, R. (2016) Belowground impacts of perennial grass cultivation for sustainable biofuel feedstock production in the tropics","2016","http://dx.doi.org/10.1111/gcbb.12379","Soil Carbon Sequestration"
"534","Lu, X., Liao, Y. (2016) Effect of tillage practices on net carbon flux and economic parameters from farmland on the Loess Plateau in China","2016","http://dx.doi.org/10.1016/j.jclepro.2016.09.044","Soil Carbon Sequestration"
"535","Bos, J.F.F.P., ten Berge, H.F.M., Verhagen, J., van Ittersum, M.K. (2016) Trade-offs in soil fertility management on arable farms","2016","http://dx.doi.org/10.1016/j.agsy.2016.09.013","Soil Carbon Sequestration"
"536","LAL, R. (2017) Effects of Tillage Practices and Land Use Management on Soil Aggregates and Soil Organic Carbon in the North Appalachian Region, USA","2017","http://dx.doi.org/10.1016/S1002-0160(17)60301-1","Soil Carbon Sequestration"
"537","Hosseiniaghdam, E.S., Bahrami, B., Ghorbani, A., Hosseiniaghdam, S.S., Mohseni, A. (2016) Response of soil organic matter to changes in the differing intensities of grazing in semi-arid rangelands in Iran","2016","http://dx.doi.org/10.13031/aim.20162430448","Soil Carbon Sequestration"
"538","Winowiecki, L. (2017) Soil carbon 4 per mille","2017","http://dx.doi.org/10.1016/j.geoderma.2017.01.002","Soil Carbon Sequestration"
"539","Xiong, Y.-C. (2017) Ridge-furrow plastic-mulching with balanced fertilization in rainfed maize (Zea mays L.): An adaptive management in east African Plateau","2017","http://dx.doi.org/10.1016/j.agrformet.2017.01.014","Soil Carbon Sequestration"
"540","Wu, G. (2017) Leguminous species sequester more carbon than gramineous species in cultivated grasslands of a semi-arid area","2017","http://dx.doi.org/10.5194/se-8-83-2017","Soil Carbon Sequestration"
"541","Parajuli, R., Knudsen, M.T., Djomo, S.N., Corona, A., Birkved, M., Dalgaard, T. (2017) Environmental life cycle assessment of producing willow, alfalfa and straw from spring barley as feedstocks for bioenergy or biorefinery systems","2017","http://dx.doi.org/10.1016/j.scitotenv.2017.01.207","Soil Carbon Sequestration"
"542","Li, D. (2017) Impacts of vegetation restoration strategies on soil organic carbon and nitrogen dynamics in a karst area, southwest China","2017","http://dx.doi.org/10.1016/j.ecoleng.2017.01.037","Soil Carbon Sequestration"
"543","Weindorf, D. (2017) Soil carbon sequestration potential in semi-arid grasslands in the Conservation Reserve Program","2017","http://dx.doi.org/10.1016/j.geoderma.2017.01.032","Soil Carbon Sequestration"
"545","Batjes, NH (1998) Mitigation of atmospheric CO(2) concentrations by increased carbon sequestration in the soil","1998","http://dx.doi.org/10.1007/s003740050425","Soil Carbon Sequestration"
"548","Metting, FB, Smith, JL, Amthor, JS, Izaurralde, RC (2001) Science needs and new technology for increasing soil carbon sequestration","2001","http://dx.doi.org/10.1023/A:1017509224801","Soil Carbon Sequestration"
"549","Jo, HK (2002) Impacts of urban greenspace on offsetting carbon emissions for middle Korea","2002","http://dx.doi.org/10.1006/jema.2001.0491","Soil Carbon Sequestration"
"550","Owens, LB, Malone, RW, Hothem, DL, Starr, GC, Lal, R (2002) Sediment carbon concentration and transport from small watersheds under various conservation tillage practices","2002","http://dx.doi.org/10.1016/S0167-1987(02)00031-4","Soil Carbon Sequestration"
"553","Olsson, L, Ardo, J (2002) Soil carbon sequestration in degraded semiarid agro-ecosystems - Perils and Potentials","2002","http://dx.doi.org/10.1639/0044-7447(2002)031[0471:SCSIDS]2.0.CO;2","Soil Carbon Sequestration"
"554","Sperow, M, Eve, M, Paustian, K (2003) Potential soil C sequestration on US agricultural soils","2003","http://dx.doi.org/10.1023/A:1022888832630","Soil Carbon Sequestration"
"555","Lal, R (2003) Global potential of soil carbon sequestration to mitigate the greenhouse effect","2003","http://dx.doi.org/10.1080/713610854","Soil Carbon Sequestration"
"556","Lal, R (2003) Offsetting global CO2 emissions by restoration of degraded soils and intensification of world agriculture and forestry","2003","http://dx.doi.org/10.1002/ldr.562","Soil Carbon Sequestration"
"557","Ogle, SM, Breidt, FJ, Eve, MD, Paustian, K (2003) Uncertainty in estimating land use and management impacts on soil organic carbon storage for US agricultural lands between 1982 and 1997","2003","http://dx.doi.org/10.1046/j.1529-8817.2003.00683.x","Soil Carbon Sequestration"
"561","Lal, R (2004) Soil carbon sequestration impacts on global climate change and food security","2004","http://dx.doi.org/10.1126/science.1097396","Soil Carbon Sequestration"
"565","Ogle, SM, Conant, RT, Paustian, K (2004) Deriving grassland management factors for a carbon accounting method developed by the intergovernmental panel on climate change","2004","http://dx.doi.org/10.1007/s00267-003-9105-6","Soil Carbon Sequestration"
"566","Lal, R (2004) Offsetting China's CO2 emissions by soil carbon sequestration","2004","http://dx.doi.org/10.1023/B:CLIM.0000038203.81854.7c","Soil Carbon Sequestration"
"567","Lal, R (2004) Soil carbon sequestration in India","2004","http://dx.doi.org/10.1023/B:CLIM.0000038202.46720.37","Soil Carbon Sequestration"
"568","Tieszen, LL, Tappan, GG, Toure, A (2004) Sequestration of Carbon in Soil Organic Matter in Senegal: an overview","2004","http://dx.doi.org/10.1016/j.jaridenv.2004.04.002","Soil Carbon Sequestration"
"569","Tschakert, P, Khouma, M, Sene, M (2004) Biophysical potential for soil carbon sequestration in agricultural systems of the Old Peanut Basin of Senegal","2004","http://dx.doi.org/10.1016/j.jaridenv.2004.03.026","Soil Carbon Sequestration"
"570","Lal, R (2004) Carbon sequestration in soils of central Asia","2004","http://dx.doi.org/10.1002/ldr.624","Soil Carbon Sequestration"
"571","Wang, SQ, Liu, JY, Yu, GR, Pan, YY, Chen, QM, Li, KR, Li, JY (2004) Effects of land use change on the storage of soil organic carbon: A case study of the Qianyanzhou Forest Experimental Station in China","2004","http://dx.doi.org/10.1007/s10584-004-2847-1","Soil Carbon Sequestration"
"572","Vagen, TG, Lal, R, Singh, BR (2005) Soil carbon sequestration in sub-Saharan Africa: A review","2005","http://dx.doi.org/10.1002/ldr.644","Soil Carbon Sequestration"
"573","Ogle, SM, Breidt, FJ, Paustian, K (2005) Agricultural management impacts on soil organic carbon storage under moist and dry climatic conditions of temperate and tropical regions","2005","http://dx.doi.org/10.1007/s10533-004-0360-2","Soil Carbon Sequestration"
"574","Conant, RT, Paustian, K, Del Grosso, SJ, Parton, WJ (2005) Nitrogen pools and fluxes in grassland soils sequestering carbon","2005","http://dx.doi.org/10.1007/s10705-004-5085-z","Soil Carbon Sequestration"
"575","Desjardins, RL, Smith, W, Grant, B, Campbell, C, Riznek, R (2005) Management strategies to sequester carbon in agricultural soils and to mitigate greenhouse gas emissions","2005","http://dx.doi.org/10.1007/s10584-005-5951-y","Soil Carbon Sequestration"
"576","Rees, RM, Bingham, IJ, Baddeley, JA, Watson, CA (2005) The role of plants and land management in sequestering soil carbon in temperate arable and grassland ecosystems","2005","http://dx.doi.org/10.1016/j.geoderma.2004.12.020","Soil Carbon Sequestration"
"577","Sierra, J, Nygren, P (2005) Role of root inputs from a dinitrogen-fixing tree in soil carbon and nitrogen sequestration in a tropical agroforestry system","2005","http://dx.doi.org/10.1071/SR04167","Soil Carbon Sequestration"
"578","Mosier, AR, Halvorson, AD, Peterson, GA, Robertson, GP, Sherrod, L (2005) Measurement of net global warming potential in three agroecosystems","2005","http://dx.doi.org/10.1007/s10705-004-7356-0","Soil Carbon Sequestration"
"579","Jain, AK, West, TO, Yang, XJ, Post, WM (2005) Assessing the impact of changes in climate and CO2 on potential carbon sequestration in agricultural soils","2005","http://dx.doi.org/10.1029/2005GL023922","Soil Carbon Sequestration"
"580","Li, CS, Frolking, S, Butterbach-Bahl, K (2005) Carbon sequestration in arable soils is likely to increase nitrous oxide emissions, offsetting reductions in climate radiative forcing","2005","http://dx.doi.org/10.1007/s10584-005-6791-5","Soil Carbon Sequestration"
"581","Smith, P, Andren, O, Karlsson, T, Perala, P, Regina, K, Rounsevell, M, van Wesemael, B (2005) Carbon sequestration potential in European croplands has been overestimated","2005","http://dx.doi.org/10.1111/j.1365-2486.2005.01052.x","Soil Carbon Sequestration"
"582","Bernoux, M, Cerri, CC, Cerri, CEP, Neto, MS, Metay, A, Perrin, AS, Scopel, E, Razafimbelo, T, Blavet, D, Piccolo, MD, Pavei, M, Milne, E (2006) Cropping systems, carbon sequestration and erosion in Brazil, a review","2006","http://dx.doi.org/10.1051/agro:2005055","Soil Carbon Sequestration"
"583","Varvel, GE (2006) Soil organic carbon changes in diversified rotations of the western corn belt","2006","http://dx.doi.org/10.2136/sssaj2005.0100","Soil Carbon Sequestration"
"585","Thomson, AM, Izaurralde, RC, Rosenberg, NJ, He, XX (2006) Climate change impacts on agriculture and soil carbon sequestration potential in the Huang-Hai Plain of China","2006","http://dx.doi.org/10.1016/j.agee.2005.11.001","Soil Carbon Sequestration"
"586","Lal, R (2006) Enhancing crop yields in the developing countries through restoration of the soil organic carbon pool in agricultural lands","2006","http://dx.doi.org/10.1002/ldr.696","Soil Carbon Sequestration"
"587","Shrestha, RK, Lal, R (2006) Ecosystem carbon budgeting and soil carbon sequestration in reclaimed mine soil","2006","http://dx.doi.org/10.1016/j.envint.2006.05.001","Soil Carbon Sequestration"
"588","Mosier, AR, Halvorson, AD, Reule, CA, Liu, XJJ (2006) Net global warming potential and greenhouse gas intensity in irrigated cropping systems in northeastern Colorado","2006","http://dx.doi.org/10.2134/jeq2005.0232","Soil Carbon Sequestration"
"589","Schaldach, R, Alcamo, J (2006) Coupled simulation of regional land use change and soil carbon sequestration: A case study for the state of Hesse in Germany","2006","http://dx.doi.org/10.1016/j.envsoft.2005.07.005","Soil Carbon Sequestration"
