wosarticle__ti;wosarticle__ab;wosarticle__py;To include;Costs, potentials, side effects;To read
CO2 separation membranes and carbon capture and storage (CCS);An explosive increase of atmospheric concentration of greenhouse gas, particularly CO2, causes global warming and climate change. One of the effective solutions should be mitigation of CO2 emission through the air by Carbon Capture and Storage, CCS. CO2 is separated over other gaseous components at the mass emission sources, such as thermal power plants, and then stored under ground or seabed after transportation by pipeline or tanker truck. For implementation of CCS, the capture cost should be drastically reduced, which is equivalent to develop novel CO2 capture technologies with much lower energy consumption. Among various CO2 capture technologies, membrane separation is promising because difference in pressure or chemical potential between feed and permeate sides drives the separation, and basically additional energy, such as heating in liquid amine scrubbing technology, is not required at all. A number of CO2 separation membranes have been investigated, and herein, the recent progress and the potentiality of membrane separation in CO2 capture are reviewed. © 2016 The Society of Polymer Science,Japan.;2016;0;0;
Comparative carbon dioxide capture from air between chlorella vulgaris and Chlorella sorokiniana;Background/Objectives: In this research, the potential of a commercial microalgae species namely, Chlorella vulgaris and a native microalgae species isolated from a palm oil mill effluent, Chlorella sorokiniana to capture carbon dioxide from the air was investigated. Methods/Statistical Analysis: Both of the species were cultured in Bold Basal Medium (BBM) at three different concentrations denoted as 1.0 BBM, 2.0 BBM and 3.0 BBM. Among the parameters that were analyzed included pH value, optical density, specific growth rate, dry biomass and the rate of carbon dioxide gas captured by the microalgae. Findings: Different medium concentrations caused a different growth rate of C. vulgaris and C. sorokiniana. C. vulgaris favored an environment with a lower pH value ranging from pH 6.0-6.5 while the native isolated microalgae species, C. sorokiniana prefers a higher pH medium which has a range of 7.0-8.0. In addition, C. sorokiniana has a higher specific growth rate, 0.0452 h-1 in 3.0 BBM compared to C. vulgaris that only has a specific growth rate of 0.0013 h-1 in 1.0 BBM. C. vulgaris had the highest dry biomass value of 0.016 g/L in 1.0 BBM in comparison to C. sorokiniana with 2.438 g/L for the dry biomass in 3.0 BBM. It is also observed that the C. sorokiniana microalgae in 3.0 BBM has the highest potential of capturing carbon dioxide gas from air at a rate of 4.584 g/L in comparison with C. vulgaris microalgae in 2.0 BBM that only captured 0.030 g/L of carbon dioxide from air. Application/Improvements: The locally isolated microalgae have shown a vast potential as an alternative for carbon dioxide capture.;2016;1;0;X photo
Topological comparisons of fluvial reservoir rock volumes using Betti numbers: Application to Co2 storage uncertainty analysis;To prevent the release of large quantities of CO2 into the atmosphere, carbon capture and storage (CCS) represents a potential means of mitigating the contribution of fossil fuel emissions to global warming and ocean acidification. Fluvial saline aquifers are favourite targeted reservoirs for CO2 storage. These reservoirs are very heterogeneous but their heterogeneities were rarely integrated into CO2 reservoir models. Moreover, contrary to petroleum reservoirs, the available dataset is very limited and not supposed to be enriched. This leads to wide uncertainties on reservoir characteristics required for CSS management (injection location, CO2 plume migration, etc.). Stochastic simulations are classical strategies in such under-constrained context. They aim at generating a wide number of models that all fit the available dataset. The generated models serve as support for computing the required reservoir characteristics and their uncertainties. A challenge is to optimize the uncertainty computations by selecting stochastic models that should have a priori very different flow behaviours. Fluid flows depend on the connectivity of reservoir rocks (channel deposits). In this paper, it is proposed to study the variability of the Betti numbers in function of different fluvial architectures. The aim is to quantify the impact of fluvial heterogeneities and their spatial distribution on reservoir rock topology and then on CO2 storage capacities. Representative models of different scenarios of channel stacking and their internal heterogeneities are generated using geostatistical simulation approaches. The Betti numbers are computed on each generated models and statistically analysed to exhibit if fluvial architecture controls reservoir topology. © Springer International Publishing Switzerland 2016.;2016;0;0;
Dynamic capture of low-concentration CO2 on amine hybrid silsesquioxane aerogel;Amine hybrid silsesquioxane aerogel (AHSA) was synthesized through a single-step sol-gel process followed by supercritical drying. CO2 adsorption performances of highly porous AHSA in 1% CO2 were investigated. 50 degrees C is preferred to perform the CO2 capture of AHSA to achieve a CO2 adsorption capacity of 3.04 mmol/g (dry) or 3.84 mmol/g (humid) under given conditions. A rise in adsorption gas flow rate from 300 to 700 ml/min results in the decrease of CO2 adsorption capacity from 3.04 to 2.42 mmol/g. The CO2 adsorption rate is mainly affected by the gas flow rate, while the effect of temperature can be ignored. Different with the adsorption performance, the CO2 desorption kinetics of AHSA is mainly affected by the temperature, the effect of gas flow rate is indifferent. Water favors the CO2 capture capability of AHSA, however, it is bad for the CO2 adsorption and desorption kinetics. The CO2 adsorption capacities of AHSA in 1% CO2 are much higher than those of other amine based porous adsorbents obtained with a 1% or even higher CO2 gas mixture. Also, AHSA has very short adsorption half time (22-55 s) and low desorption temperature of 80 degrees C, much lower than those of other amine-based adsorbents. The resulting adsorbent is dynamic and possesses excellent regenerability for low-concentration CO2 capture. (C) 2015 Elsevier B.V. All rights reserved.;2016;1;0;
Heat and mass transfer of temperature-vacuum swing desorption for CO2 capture from air;A transient heat and mass transfer model is developed to simulate the desorption step of a temperature vacuum swing cyclic process for CO2 capture from ambient air. The model incorporates binary CO2 and H2O adsorption equilibrium data, heat of adsorption, heat conduction, gas phase diffusion, and considers CO2 adsorption from both dry and moist air. A set of desorption experimental runs was carried out using a packed bed of amine-functionalized nanofibrillated cellulose sorbent material in the temperature range 20-95 degrees C and at 62 mbarabs desorption pressure. Numerically calculated temperature profiles were compared to those obtained experimentally. The simulation results indicate fast gas diffusion and local re-adsorption of CO2 and H2O in colder zones of the reactor. The risk of O-2-induced sorbent degradation is substantially reduced under humid air conditions as opposed to dry conditions, since air is purged out of the reactor by co-desorbed H2O before reaching a critical temperature. Further, the CO2 recovery rates at a given purity level are analyzed for the first time for a direct air capture system and it is found that, for typical process conditions, more than 90% of the captured CO2 can be recovered at >99% purity. (C) 2015 Elsevier B.V. All rights reserved.;2016;1;0;
Preparation and kinetics of a heterogeneous sorbent for CO2 capture from the atmosphere;Capturing CO2 directly from the atmosphere using chemicals (air capture) is a strategic approach to mitigate global warming. Before the widespread deployment of air capture, technical challenges, such as the poor kinetics under ultra-low CO2 concentrations, must be addressed. This work aims to characterize and optimize the mass transfer process of a novel moisture swing adsorption method for air capture. The phase inversion technique is employed to fabricate a heterogeneous structured sorbent. The modified shrinking core model and a revolving bed reactor are developed to evaluate the adsorption kinetics. The sorbents exhibit significant diffusion-controlled kinetics under most of the measurement conditions. The effects of ambient conditions on kinetics, such as temperature and relative humidity, were investigated. The diffusion and chemical reaction rate drop sharply as the temperature decreases from 20 to 0 degrees C. The relative humidity shows a more obvious effect on the chemical reaction than on the physical diffusion process due to the mechanisms of hydration water involved in the chemical reaction. On the other hand, reducing the size of the sorbent particles to several micrometers could effectively avoid the substantial reduction in the adsorption rate under lower temperatures. Using the determined kinetic parameters, suggestions for kinetics optimization are proposed for air capture under different weather conditions. (C) 2015 Elsevier B.V. All rights reserved.;2016;1;0;
Climate change impacts on the sustainability of the firewood harvest and vegetation and soil carbon stocks in a tropical dry forest in Santa Teresinha Municipality, Northeast Brazil;"The Brazilian semi-arid region is characterized by low and erratic rainfall, high temperatures and high potential evapotranspiration. The removal of firewood from the native tropical dry forest, called ""Caatinga"", can negatively impact important ecosystem services, such as soil conservation, water resources, biodiversity and atmospheric carbon capture, if performed in an unsustainable manner. Most global climate models indicate that Caatinga will experience temperature increases and rainfall decreases in the next few decades. We used the Century model to simulate the impact of climate changes on woody vegetation growth and on vegetation and soil organic carbon stocks in a Caatinga area managed with a single clear cut or cuts every 10 years, 15 years, and 20 years, followed or not followed by the burning of plant residues (leaves and small branches) left after firewood removal. The effects of future climate projections, (LOW, MIDI and HIGH members of the climate scenario SRES A1B, which corresponded to different CO2 emission predictions, downscaled by the Eta/CPTEC model), were compared to those of the projection of the historical climate. With the current climate, it would take 50 years to regenerate the Caatinga biomass stock to a level close to that before cutting after a single cut, followed or not followed by fire. Therefore, the recommended cutting cycles (10-20 years) were not long enough to allow for the regeneration of a fully mature Caatinga. However, all of these cycles reached sustainable biomass production levels, with similar total productions until the end of the century. Under these conditions, the lower proportions of biomass recovery of shorter cycles would be compensated by more frequent cutting. The model also indicated that burning or not burning the residues would have little effect. On the contrary, if the climate changes as predicted, the biomass of the native Caatinga vegetation and soil organic carbon stock would decrease throughout this century, even without cutting the vegetation. All of the cutting cycles would not provide sustainable firewood production, with reduced production after each consecutive cut. Therefore, if the climate changes as expected, forest management legislation should require longer periods of forest recovery between cutting cycles for sites with environmental conditions (e.g., climate, soil and vegetation) similar to those of the present study. (C) 2015 Elsevier B.V. All rights reserved.";2016;0;0;
Climate Impact and Economic Feasibility of Solar Thermochemical Jet Fuel Production;Solar thermochemistry presents a promising option for the efficient conversion of H2O and CO2 into liquid hydrocarbon fuels using concentrated solar energy. To explore the potential of this fuel production pathway, the climate impact and economic performance are analyzed. Key drivers for the economic and ecological performance are thermo-chemical energy conversion efficiency, the level of solar irradiation, operation and maintenance, and the initial investment in the fuel production plant. For the baseline case of a solar tower concentrator with CO2 capture from air, jet fuel production costs of 2.23 (sic)/L and life cycle greenhouse gas (LC GHG) emissions of 0.49 kg(CO2-equiv)/L are estimated. Capturing CO2 from a natural gas combined cycle power plant instead of the air reduces the production costs by 15% but leads to LC GHG emissions higher than that of conventional jet fuel. Favorable assumptions for all involved process steps (30% thermochemical energy conversion efficiency, 3000 kWh/(m(2) a) solar irradiation, low CO2 and heliostat costs) result in jet fuel production costs of 1.28 (sic)/L at LC GHG emissions close to zero. Even lower production costs may be achieved if the commercial value of oxygen as a byproduct is considered.;2016;1;1;X for fuel production
Conversion of CO2 from Air into Methanol Using a Polyamine and aHomogeneous Ruthenium Catalyst;A highly efficient homogeneous catalyst system for the production of CH3OH from CO2 using pentaethylenehexamine and Ru-Macho-BH (1) at 125-165 degrees C in an ethereal solvent has been developed (initial turnover frequency = 70 h(-1) at 145 degrees C). Ease of separation of CH3OH is demonstrated by simple distillation from the reaction mixture. The robustness of the catalytic system was shown by recycling the catalyst over five runs without significant loss of activity (turnover number > 2000). Various sources of CO2 can be used for this reaction including air, despite its low CO2 concentration (400 ppm). For the first time, we have demonstrated that CO2 captured from air can be directly converted to CH3OH in 79% yield using a homogeneous catalytic system.;2016;1;0;X for fuel production
Characterization of kinetic limitations to atmospheric CO2 capture by solid sorbent;Scrubbing CO2 directly from the ambient air (air capture) by sorbent is an emerging technology to address climate change due to anthropic emission of greenhouse gases. A good understanding of thermodynamics and reaction kinetics under ultra-low CO2 concentration and variable humidity is fundamental to the design of economic air capture. In this study, the adsorption kinetics of a novel moisture swing process for air capture is characterized. The variation of humidity alters not only the adsorption equilibrium but also the adsorption kinetics, due to a water involved chemical reaction. A heterogeneously structured sorbent sheet with strong based ion exchange resin inside as active constituent is employed to capture the atmospheric CO2 under different humidity. Traditional shrinking core model (SCM) is modified to reveal the mass transfer resistance inside of the sorbent for CO2 adsorption under ultra-low CO2 concentration. The modified SCM reveals that, at most cases, the adsorption kinetics is controlled by diffusion inside of the sorbent particle. A transition from physical diffusion controlled kinetics to chemical reaction controlled kinetics is observed as humidity increases. Further kinetic analysis suggests that, among the optimization technologies such as seeking functional group with faster chemical reaction or fabricating thinner support layer, preparing sorbent particle with smaller size or higher porosity should have much more potential on the enhancement of air capture kinetics. (c) 2015 Society of Chemical Industry and John Wiley & Sons, Ltd;2016;1;0;
An overview of activated carbons utilization for the post-combustion carbon dioxide capture;The increase of carbon dioxide (CO2) concentration in the ambient air has become the key factor in the pace of temperature rise, and accordingly, is a primary contributor towards global warming scenario. In view of this, the quick mitigation efforts associated with capturing CO2 from fossil fuel combustion source must be implemented to alleviate environmental catastrophic events in future. Therefore, the purpose of this paper was to review the role and performances of activated carbon in capturing anthropogenic CO2 flue gas prior to emission to air. Throughout this paper, the activated carbons which were proposed to be a separation medium for CO2 capture are evaluated in terms of equilibrium adsorption capacity as well as the surface modification. The utilization of the activated carbons instead of current state-of-art technology, which is the chemical absorption is promising as it avoids higher energy penalty encountered in regeneration process and the consumption of corrosive chemical such as aqueous amine-based solvent. In addition, the investigation on the potential of activated carbons for post-combustion CO2 capture is expected to confer scientists with critical information related to the future direction of the activated carbons in an industrial application, and as an alternative to conventional amine scrubbing process. (C) 2015 Elsevier Ltd. All rights reserved.;2016;0;0;
Steam Regeneration of Polyethylenimine-Impregnated Silica Sorbent for Postcombustion CO2 Capture: A Multicyclic Study;"Steam regeneration of polyethylenimine (PEI)-impregnated commercial grade silica was investigated in a packed bed reactor. Adsorption was performed at 75 degrees C under 10% CO2/N-2, and desorption was carried out under steam at 110 degrees C for 20 consecutive cycles. CO, adsorption capacity was found to decrease by 9 mol % over the period of 20 cycles. No evident signs of sorbent degradation due to PEI leaching or changes in surface morphology and amine functionalities were observed upon characterization of the sorbent after the cyclic study. Most of the loss in adsorption capacity was associated with thermal degradation of the sorbent during drying under N-2 after steam stripping at 110 degrees C. The desorption kinetics during steam stripping was found to be much faster than during N2 stripping. Over 80% of the total CO, was released within the first 3 min of steam injection into the reactor. A separate packed bed study was conducted to investigate the influence of moisture content (5.3-14.7 vol %) in flue gas on the CO, adsorption capacity of PEI-impregnated silica. The presence of moisture had a positive impact on CO2 uptake of the sorbent; a 4-9 mol % increase in CO2 uptake was observed in comparison to the adsorption under dry conditions. However, the presence of moisture increased the heat of regeneration of the sorbent significantly. It was calculated that the energy demand increased approximately 2-fold on introduction of 14.7% moisture compared to that of dry flue gas.";2016;0;0;
Flexible, amine-modified silica aerogel with enhanced carbon dioxide capture performance;One kind of flexible, amine-modified silica aerogel (AMSA) was prepared using sol-gel method and ambient drying technology. The obtained AMSA displays excellent mechanical strength. It can endure up to ca. 80 % linear compression and spring back to more than 95 % of its original size reversible deformation during uniaxial compression tests. The formed AMSA has abundant micropore, mesopore and macropore. Its porosity is higher than 90 %. The amine groups are incorporated into the silica network via covalent bond. The porous structure and the content of amine groups can be easily changed by adjusting the synthesis condition. High mechanical property, abundant pores, high content and stable amine groups give the obtained AMSA excellent CO2 adsorption properties. Its CO2 adsorption capacity can reach 6.45 mmol/g in simulated ambient air under 1 bar of dry CO2, as well as good stability over 50 adsorption-desorption cycles.;2016;1;0;
Amidine-Functionalized Poly(2-vinyl-4,4-dimethylazlactone) for Selective and Efficient CO2 Fixing;Development of novel polymeric materials capable of efficient CO2 capture and separation under ambient conditions is crucial for cost-effective and practical industrial applications. Here we report the facile synthesis of a new CO2-responsive polymer through postpolymerization modification of poly(2-vinyl-4,4-dimethylazlactone) (PVDMA). The reactive pendant azlactone groups of PVDMA are easily modified with 4-(N-methyltetrahydropyrimidine)benzyl alcohol (PBA) without any byproduct formation. FUR and TGA experiments show the new PBA-functionalized polymer powder can reversibly capture CO2 at room temperature and under atmospheric pressure. CO2 capture was selective, showing a high fixing efficiency even with a mixed gas system (20% CO2, 80% N-2) similar to flue gas. CO2 release occurred at room temperature, and release profiles were investigated as a function of temperature. Density functional theory (DFT) calculations coupled with modeling and. simulation reveal the presence of two CO2 binding sites in the PBA-functionalized polymer resulting in a two-step CO2 release at room temperature. The ease of material preparation, high fixing efficiency, and robust release characteristics suggest that postpolymerization modification may be a useful route to designing new materials for CO2 capture.;2016;1;0;
